Name,Group,ANID,Fe,Th,Rb,Sr,Y,Zr,Nb
Cerro Kaskio,CK-BOL,BOL056,6837,20,216.7,2.2,20.7,99,20.7
Cerro Kaskio,CK-BOL,BOL057,6429.9,19,217.1,3.2,29.5,79.8,18.2
Sora Sora,SS-BOL,BOL058,4612.3,31.3,348.8,4.2,34.7,76.2,79.5
Sora Sora,SS-BOL,BOL059,4076.8,34.8,368.9,5.4,31,88.5,78.1
Sora Sora,SS-BOL,BOL060,4418.9,32,386.4,3.2,34.9,79.9,84.8
Sora Sora,SS-BOL,BOL061,3871,31.3,376.9,9,32.5,77.1,80.9
Sora Sora,SS-BOL,BOL062,4127.5,29.5,374.9,4.8,33.6,82.4,84.4
Sora Sora,SS-BOL,BOL063,4097.2,31.2,362.2,3.4,26.7,77.5,77.3
Sora Sora,SS-BOL,BOL064,4106,32.5,361.4,1.5,30.9,76.5,77.9
Sora Sora,SS-BOL,BOL065,4038.9,28.3,367.5,4,34.6,75,76.3
Sora Sora,SS-BOL,BOL066,4041.1,32.5,379.5,8,27.6,76.6,78.9
Sora Sora,SS-BOL,BOL067,3643.8,34.3,353.3,7,28.3,77.1,79.1
Charaña,CHR-BOL,CHAR051,6053.4,11.6,143.5,110.3,8.5,90.7,11.5
Charaña,CHR-BOL,CHAR101,5802.9,10.6,129.4,106.7,8.9,86.8,10.7
Charaña,CHR-BOL,CHAR102,5966,12.2,139.7,110.5,9.6,94.7,10.5
Charaña,CHR-BOL,CHAR103,5484.7,14.5,157.6,107.3,8.9,90.3,14.7
Charaña,CHR-BOL,CHAR161,6138.5,15.3,146.2,112.1,8.5,102.7,13.5
Charaña,CHR-BOL,CHAR162,6031.3,13.9,138.7,109.9,7.7,97.3,12.8
Charaña,CHR-BOL,CHAR163,5875.2,15.4,142.5,107.9,7.1,92.1,16.2
Cerro Kaskio,CK-BOL,CKB101,6799.5,18.8,210.5,2.3,22.8,85,17.3
Cerro Kaskio,CK-BOL,CKB102,6547.3,18.9,213.4,0.2,26.1,81.8,16.3
Cerro Kaskio,CK-BOL,CKB103,6591.9,22.1,210.3,2.4,29.8,80,21.6
Cerro Kaskio,CK-BOL,CKB104,6534.1,17.4,223,1.3,26.3,84.3,20
Cerro Kaskio,CK-BOL,CKB105,7129.9,18.1,217.6,0.9,22.2,79.7,18.5
Cerro Kaskio,CK-BOL,CKB201,6321.4,15.8,197.5,1,23.4,79.6,17.1
Cerro Kaskio,CK-BOL,CKB202,6496,15.4,203.9,1.1,22.6,79.8,15.1
Cerro Kaskio,CK-BOL,CKB203,6477.4,19.8,209.6,1.1,24.8,78.7,18.1
Sora Sora,SS-BOL,SSB001,4130.1,37.2,380.4,0.6,28,79.7,86.9
Sora Sora,SS-BOL,SSB002,4118.4,29.9,340.8,6.1,32,68.3,74
Sora Sora,SS-BOL,SSB003,3722.5,27.1,347.7,4.4,28.3,74.7,75.3
Sora Sora,SS-BOL,SSB004,3963.1,32.7,364.8,4.8,33.8,77.4,75.2
Sora Sora,SS-BOL,SSB005,4005.3,34.3,393.9,4.5,26.9,76.3,83
Sora Sora,SS-BOL,SSB006,4255.7,32.6,376.7,7.1,31.1,77.8,82.1
