Sample,Group,Mn,Fe,Zn,Ga,ThLa1,Rb,Sr,Y,Zr,Nb,Peso,Notes,Long,Lat,Notes
ZAP009,LBZ,,11065.1,,,23.9,229.1,144.7,37.7,205,24.6,,,,,
ZZ013-LBZ-Tara,LBZ,,13184.8,,,21.9,246.5,152.7,30.8,208,23.4,,,,,
ZZ014-LBZ-Tara,LBZ,,11781.7,,,22.6,240.7,150.4,29.8,197.7,24.9,,,,,
ZZ015-LBZ-Tara,LBZ,,12117,,,18.8,232.6,147.6,22.8,198.8,19.6,,,,,
ZZ029-LBZ-Tara,LBZ,,13657.1,,,24.4,263.6,162.8,32.3,234.7,24.5,,,,,
ZZ030-LBZ-Tara,LBZ,,13429.6,,,23.8,270.8,164.4,30.3,210,23.7,,,,,
ZZ031-LBZ-Tara,LBZ,,13369.1,,,28.8,251.4,164.7,33.1,208.9,22.5,,,,,
ZZ031-LBZ-Tara,LBZ,,13369.1,,,28.8,251.4,164.7,33.1,208.9,22.5,,,,,
ZZ032-LBZ-Tara,LBZ,,13121.1,,,27,255.7,164.3,31.3,212,23.1,,,,,
ZZ032-LBZ-Tara,LBZ,,13121.1,,,27,255.7,164.3,31.3,212,23.1,,,,,
IAI030 - Pari2,PAR-CHL,527,5517.4,48.6,,10,124.2,334,13.9,92,16.3,,Glascock-Quantx2019,-69.304712,-18.118535,
IAI031 - Pari2,PAR-CHL,500.8,5573.3,44.6,,12,121.7,323.8,13.7,93,17,,Glascock-Quantx2019,-69.304712,-18.118535,
IAI033 - Pari2,PAR-CHL,781.4,6696.3,57.7,,10.2,136.2,375.7,14.8,99.5,16.9,,Glascock-Quantx2019,-69.304712,-18.118535,
Parinacota_15_01_01,PAR-CHL,562.5492286,8570.815671,48.02713769,20.31337611,10.04985674,142.6673167,192.5540342,13.97376993,99.91984856,11.40808324,5.65,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_010_01,PAR-CHL,506.7760527,7062.367765,46.91686985,18.88661129,11.21850067,134.5858704,195.8482143,11.31206652,98.23882565,10.60880844,5.07,NKT_Tracer3,-69.304712,-18.118535,
Parinacota_15_010_02,PAR-CHL,439.6426289,6828.965507,51.91842425,15.97227839,17.69222929,138.3083026,200.5453754,13.49247591,98.49476975,12.43070379,10.13,"3.5 MURR NT0074, NKT_Tracer3",-69.304712,-18.118535,
